X,Y,RedChiSq,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Amp9,Amp10,Wvl1,Wvl2,Wvl3,Wvl4,Wvl5,Wvl6,Wvl7,Wvl8,Wvl9,Wvl10,Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10
0, 25, 1.0724, 84.2365, 9.2482, 624.9279, 76.975, 252.7094, 27.7445, 128.1849, 10.6593, 103.121, 0.0,6552.8679, 6550.807, 6567.6298, 6565.5643, 6588.2939, 6586.2219, 6721.3818, 6719.2679, 6735.7724, 6733.654,1.38, 1.0588, 1.38, 1.0588, 1.38, 1.0588, 1.38, 1.0588, 1.38, 1.0588
0, 26, 0.8145, 97.8092, 3.1929, 671.8308, 92.2996, 293.4277, 9.5786, 133.474, 25.0243, 88.57, 27.6923,6553.0086, 6551.5855, 6567.7708, 6566.3445, 6588.4354, 6587.0046, 6721.5261, 6720.0664, 6735.917, 6734.4542,1.3967, 0.936, 1.3967, 0.936, 1.3967, 0.936, 1.3967, 0.936, 1.3967, 0.936
0, 27, 0.7354, 98.3138, 4.0544, 740.0696, 95.1649, 294.9413, 12.1633, 147.7518, 0.0, 105.2753, 4.5604,6552.859, 6552.1007, 6567.6209, 6566.8609, 6588.285, 6587.5226, 6721.3727, 6720.5949, 6735.7633, 6734.9838,1.4304, 0.936, 1.4304, 0.936, 1.4304, 0.936, 1.4304, 0.936, 1.4304, 0.936
0, 28, 0.8277, 15.846, 96.1905, 0.0, 924.9871, 47.5381, 288.5716, 102.6626, 53.0706, 118.9905, 0.0,6553.1276, 6552.6316, 6567.8901, 6567.3929, 6588.5551, 6588.0563, 6721.6482, 6721.1394, 6736.0393, 6735.5295,1.4957, 1.3504, 1.4957, 1.3504, 1.4957, 1.3504, 1.4957, 1.3504, 1.4957, 1.3504
0, 29, 0.7074, 34.2102, 96.5414, 148.1279, 851.9628, 102.6306, 289.6241, 109.4391, 50.7632, 61.8421, 58.2471,6553.3934, 6552.4115, 6568.1565, 6567.1723, 6588.8223, 6587.8351, 6721.9208, 6720.9137, 6736.3126, 6735.3032,1.3769, 1.2359, 1.3769, 1.2359, 1.3769, 1.2359, 1.3769, 1.2359, 1.3769, 1.2359
0, 30, 1.0493, 60.0242, 62.5085, 316.9643, 639.5566, 180.0725, 187.5254, 153.0548, 0.0, 45.1867, 74.3424,6553.1355, 6552.3905, 6567.898, 6567.1513, 6588.563, 6587.814, 6721.6563, 6720.8922, 6736.0475, 6735.2817,1.4495, 1.1793, 1.4495, 1.1793, 1.4495, 1.1793, 1.4495, 1.1793, 1.4495, 1.1793
0, 31, 0.8272, 19.1372, 104.85, 0.0, 871.3239, 57.4117, 314.5499, 20.8929, 148.0656, 24.2617, 119.0939,6554.5458, 6552.711, 6569.3114, 6567.4725, 6589.9809, 6588.1362, 6723.1028, 6721.2208, 6737.4971, 6735.6111,1.8523, 1.3424, 1.8523, 1.3424, 1.8523, 1.3424, 1.8523, 1.3424, 1.8523, 1.3424
0, 32, 0.6287, 49.3886, 83.2155, 271.8897, 714.0761, 148.1659, 249.6464, 53.144, 107.7262, 51.0859, 88.5554,6553.6806, 6552.4035, 6568.4443, 6567.1643, 6589.111, 6587.827, 6722.2154, 6720.9055, 6736.6078, 6735.295,1.2738, 1.1228, 1.2738, 1.1228, 1.2738, 1.1228, 1.2738, 1.1228, 1.2738, 1.1228
0, 33, 1.5995, 23.8163, 114.67, 107.7471, 839.5984, 71.4489, 344.0099, 21.5135, 145.1862, 19.9244, 113.275,6554.5239, 6552.5942, 6569.2894, 6567.3554, 6589.9589, 6588.0187, 6723.0803, 6721.101, 6737.4746, 6735.491,0.936, 1.1858, 0.936, 1.1858, 0.936, 1.1858, 0.936, 1.1858, 0.936, 1.1858
0, 34, 1.1088, 59.5074, 54.4334, 279.6316, 506.7007, 178.5222, 163.3003, 50.5009, 112.9394, 41.3229, 73.6961,6553.2446, 6552.6138, 6568.0073, 6567.3751, 6588.6727, 6588.0385, 6721.7682, 6721.1212, 6736.1596, 6735.5112,1.4849, 1.1619, 1.4849, 1.1619, 1.4849, 1.1619, 1.4849, 1.1619, 1.4849, 1.1619
